budget,homepage,id,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,director,spokenlang,prodcountries,prodcomp
33000000,,817,saving the world moon submarine clone spy,en,Austin Powers: The Spy Who Shagged Me,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",18.316151,08/06/1999,310940086,95,Released,Austin Powers: The Spy Who Shagged Me,6.2,1011,Jay Roach,Deutsch,United States of America,"['New Line Cinema', ""Eric's Boy""]"
33000000,,817,saving the world moon submarine clone spy,en,Austin Powers: The Spy Who Shagged Me,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",18.316151,08/06/1999,310940086,95,Released,Austin Powers: The Spy Who Shagged Me,6.2,1011,Jay Roach, English,United States of America,"['New Line Cinema', ""Eric's Boy""]"
63000000,http://www.austinpowers.com/,818,saving the world submarine brother brother relationship clone spy,en,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",40.137264,26/07/2002,296655431,94,Released,Austin Powers in Goldmember,5.9,979,Jay Roach,English,United States of America,"['New Line Cinema', ""Eric's Boy"", 'Team Todd', 'Moving Pictures', 'Gratitude International']"
63000000,http://www.austinpowers.com/,818,saving the world submarine brother brother relationship clone spy,en,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",40.137264,26/07/2002,296655431,94,Released,Austin Powers in Goldmember,5.9,979,Jay Roach, 日本語,United States of America,"['New Line Cinema', ""Eric's Boy"", 'Team Todd', 'Moving Pictures', 'Gratitude International']"
63000000,http://www.austinpowers.com/,818,saving the world submarine brother brother relationship clone spy,en,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",40.137264,26/07/2002,296655431,94,Released,Austin Powers in Goldmember,5.9,979,Jay Roach, Deutsch,United States of America,"['New Line Cinema', ""Eric's Boy"", 'Team Todd', 'Moving Pictures', 'Gratitude International']"
63000000,http://www.austinpowers.com/,818,saving the world submarine brother brother relationship clone spy,en,Austin Powers in Goldmember,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",40.137264,26/07/2002,296655431,94,Released,Austin Powers in Goldmember,5.9,979,Jay Roach, Français,United States of America,"['New Line Cinema', ""Eric's Boy"", 'Team Todd', 'Moving Pictures', 'Gratitude International']"
70000000,,857,war crimes self sacrifice war veteran world war ii war ship,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.041867,24/07/1998,481840909,169,Released,Saving Private Ryan,7.9,5048,Steven Spielberg,Český,United States of America,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']"
70000000,,857,war crimes self sacrifice war veteran world war ii war ship,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.041867,24/07/1998,481840909,169,Released,Saving Private Ryan,7.9,5048,Steven Spielberg, Deutsch,United States of America,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']"
70000000,,857,war crimes self sacrifice war veteran world war ii war ship,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.041867,24/07/1998,481840909,169,Released,Saving Private Ryan,7.9,5048,Steven Spielberg, English,United States of America,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']"
70000000,,857,war crimes self sacrifice war veteran world war ii war ship,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",76.041867,24/07/1998,481840909,169,Released,Saving Private Ryan,7.9,5048,Steven Spielberg, Français,United States of America,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']"
30000000,http://toystory.disney.com/toy-story,862,jealousy toy boy friendship friends,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",73.640445,30/10/1995,373554033,81,Released,Toy Story,7.7,5269,John Lasseter,English,United States of America,['Pixar Animation Studios']
90000000,http://toystory.disney.com/toy-story-2,863,museum prosecution identity crisis airplane flea market,en,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",73.575118,30/10/1999,497366869,92,Released,Toy Story 2,7.3,3806,John Lasseter,English,United States of America,['Pixar Animation Studios']
100000000,,869,gorilla space marine space suit revolution chimp,en,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",51.188633,25/07/2001,362211740,119,Released,Planet of the Apes,5.6,1243,Tim Burton,English,United States of America,"['Twentieth Century Fox Film Corporation', 'Tim Burton Productions', 'Zanuck Company, The']"
120000000,http://disney.go.com/disneyvideos/animatedfilms/cars/,920,car race car journey village and town auto route 66,en,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",82.643036,08/06/2006,461983149,117,Released,Cars,6.6,3877,John Lasseter,English,United States of America,"['Walt Disney Pictures', 'Pixar Animation Studios']"
120000000,http://disney.go.com/disneyvideos/animatedfilms/cars/,920,car race car journey village and town auto route 66,en,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",82.643036,08/06/2006,461983149,117,Released,Cars,6.6,3877,John Lasseter, Italiano,United States of America,"['Walt Disney Pictures', 'Pixar Animation Studios']"
120000000,http://disney.go.com/disneyvideos/animatedfilms/cars/,920,car race car journey village and town auto route 66,en,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",82.643036,08/06/2006,461983149,117,Released,Cars,6.6,3877,John Lasseter, 日本語,United States of America,"['Walt Disney Pictures', 'Pixar Animation Studios']"
120000000,http://disney.go.com/disneyvideos/animatedfilms/cars/,920,car race car journey village and town auto route 66,en,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",82.643036,08/06/2006,461983149,117,Released,Cars,6.6,3877,John Lasseter, ,United States of America,"['Walt Disney Pictures', 'Pixar Animation Studios']"
140000000,,944,lapd house on fire revolver,en,Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",24.855701,10/07/1998,285444603,127,Released,Lethal Weapon 4,6.3,767,Richard Donner,English,United States of America,"['Silver Pictures', 'Donner/Shuler-Donner Productions', 'Warner Bros.']"
140000000,,944,lapd house on fire revolver,en,Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",24.855701,10/07/1998,285444603,127,Released,Lethal Weapon 4,6.3,767,Richard Donner, 广州话 / 廣州話,United States of America,"['Silver Pictures', 'Donner/Shuler-Donner Productions', 'Warner Bros.']"
140000000,,944,lapd house on fire revolver,en,Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",24.855701,10/07/1998,285444603,127,Released,Lethal Weapon 4,6.3,767,Richard Donner, 普通话,United States of America,"['Silver Pictures', 'Donner/Shuler-Donner Productions', 'Warner Bros.']"
80000000,http://www.iceagemovies.com/films/ice-age-the-meltdown,950,mammoth sloth ice age barrier ice ice melting,en,Ice Age: The Meltdown,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",85.115058,23/03/2006,660940780,91,Released,Ice Age: The Meltdown,6.5,2951,Carlos Saldanha,English,United States of America,"['Blue Sky Studios', 'Twentieth Century Fox Animation']"
75000000,,953,lion hippopotamus giraffe penguin zebra,en,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",48.110909,25/05/2005,532680671,86,Released,Madagascar,6.6,3237,Eric Darnell,English,United States of America,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
75000000,,953,lion hippopotamus giraffe penguin zebra,en,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",48.110909,25/05/2005,532680671,86,Released,Madagascar,6.6,3237,Eric Darnell, Français,United States of America,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
75000000,,953,lion hippopotamus giraffe penguin zebra,en,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",48.110909,25/05/2005,532680671,86,Released,Madagascar,6.6,3237,Eric Darnell, Português,United States of America,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
75000000,,953,lion hippopotamus giraffe penguin zebra,en,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",48.110909,25/05/2005,532680671,86,Released,Madagascar,6.6,3237,Eric Darnell, Español,United States of America,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
75000000,,953,lion hippopotamus giraffe penguin zebra,en,Madagascar,"Zoo animals leave the comforts of man-made habitats for exotic adventure in this animated family film. After escaping from the zoo, four friends -- a lion, a hippo, a zebra and a giraffe -- are sent back to Africa. When their ship capsizes, stranding them on Madagascar, an island populated by crazy critters, the pals must adapt to jungle life and their new roles as wild animals.",48.110909,25/05/2005,532680671,86,Released,Madagascar,6.6,3237,Eric Darnell, ภาษาไทย,United States of America,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
80000000,http://www.missionimpossible.com/,954,paris london england spy cia terrorist,en,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",75.290998,22/05/1996,457696359,110,Released,Mission: Impossible,6.7,2631,Brian De Palma,English,United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions']"
80000000,http://www.missionimpossible.com/,954,paris london england spy cia terrorist,en,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",75.290998,22/05/1996,457696359,110,Released,Mission: Impossible,6.7,2631,Brian De Palma, Français,United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions']"
80000000,http://www.missionimpossible.com/,954,paris london england spy cia terrorist,en,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",75.290998,22/05/1996,457696359,110,Released,Mission: Impossible,6.7,2631,Brian De Palma, Český,United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions']"
125000000,http://www.missionimpossible.com/,955,terror spain cia helicopter secret identity,en,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",54.931334,24/05/2000,546388105,123,Released,Mission: Impossible II,5.9,1928,John Woo,English,Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']"
125000000,http://www.missionimpossible.com/,955,terror spain cia helicopter secret identity,en,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",54.931334,24/05/2000,546388105,123,Released,Mission: Impossible II,5.9,1928,John Woo,English, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams,Deutsch,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams,Deutsch, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams,Deutsch, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, English,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, English, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, English, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Italiano,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Italiano, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Italiano, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 普通话,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 普通话, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 普通话, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Český,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Český, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, Český, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 广州话 / 廣州話,China,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 广州话 / 廣州話, Germany,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
150000000,http://www.missionimpossible.com/,956,berlin cia vatican white house secret identity,en,Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",63.079003,03/05/2006,397850012,126,Released,Mission: Impossible III,6.5,2028,J.J. Abrams, 广州话 / 廣州話, United States of America,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']"
110000000,http://www.sonypictures.com/movies/ghostrider/,1250,mephisto religion and supernatural dying and death devil's son ghost world,en,Ghost Rider,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",46.834704,16/02/2007,228738393,114,Released,Ghost Rider,5.2,1712,Mark Steven Johnson,English,United States of America,"['Columbia Pictures Corporation', 'Relativity Media', 'Michael De Luca Productions', 'Marvel Enterprises', 'Crystal Sky Pictures', 'GH One', 'Vengeance Productions Pty. Ltd.']"
110000000,http://www.sonypictures.com/movies/ghostrider/,1250,mephisto religion and supernatural dying and death devil's son ghost world,en,Ghost Rider,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",46.834704,16/02/2007,228738393,114,Released,Ghost Rider,5.2,1712,Mark Steven Johnson,English, Australia,"['Columbia Pictures Corporation', 'Relativity Media', 'Michael De Luca Productions', 'Marvel Enterprises', 'Crystal Sky Pictures', 'GH One', 'Vengeance Productions Pty. Ltd.']"
25000000,,1268,holiday france film director chaos clumsy fellow,en,Mr. Bean's Holiday,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling and true love, among other things.",27.683874,22/03/2007,229736344,90,Released,Mr. Bean's Holiday,6.1,663,Steve Bendelack,English,United Kingdom,"['Tiger Aspect Productions', 'Working Title Films']"
